,names_to_use,GS,genus,phylum,class,order,family,Life_style,trophicMode
35,Albonectria rigidiuscula,53.69,Albonectria,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Facultative association,Pathotroph-Symbiotroph
36,Albophoma yamanashiensis,31.39,Albophoma,Ascomycota,Not assigned,Not assigned,Not assigned,NA,NA
37,Albotricha acutipila,51.3,Albotricha,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
38,Alectoria sarmentosa,39.96,Alectoria,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,NA,NA
39,Aleuria aurantia,25.27,Aleuria,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
40,Aliquandostipite khaoyaiensis,119.52,Aliquandostipite,Ascomycota,Dothideomycetes,Jahnulales,Aliquandostipitaceae,NA,NA
41,Alloascoidea hylecoeti,24.82,Alloascoidea,Ascomycota,Saccharomycetes,Saccharomycetales,Alloascoideaceae,NA,NA
42,Allomyces macrogynus,57.06,Allomyces,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,NA,NA
43,Allophylaria campanuliformis,36.67,Allophylaria,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
44,Alpova diplophloeus,44.9,Alpova,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,NA,NA
45,Alternaria alternata,33.48,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph-Saprotroph-Symbiotroph
46,Alternaria arborescens,33.42,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
47,Alternaria atra,35.11,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
48,Alternaria brassicae,32.745,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph
49,Alternaria brassicicola,30.95,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph
50,Alternaria burnsii,32.96,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Plant,Patotroph
51,Alternaria capsici,31.35,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
52,Alternaria carthami,32.68,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
53,Alternaria citriarbusti,33.87,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
54,Alternaria consortialis,34.24,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
55,Alternaria crassa,32.62,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
56,Alternaria dauci,30.43,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph
57,Alternaria destruens,41.8,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
58,Alternaria gaisen,34.17,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
59,Alternaria gansuensis,75.05,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
60,Alternaria limoniasperae,34.78,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
61,Alternaria linariae,32.33,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
62,Alternaria longipes,35.74,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph-Symbiotroph
63,Alternaria macrospora,31.35,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
64,Alternaria mali,33.97,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph
65,Alternaria porri,29.24,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph
66,Alternaria rosae,33.83,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Plant,Patotroph
67,Alternaria solani,31.97,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph
68,Alternaria tagetica,35.1,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
69,Alternaria tangelonis,33.77,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
70,Alternaria tenuissima,33.97,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph-Symbiotroph
71,Alternaria turkisafria,34,Alternaria,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Patotroph
72,Amanita bisporigera,66.51,Amanita,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,NA,NA
73,Amanita brunnescens,46.79,Amanita,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,NA,NA
74,Amanita jacksonii,30.86,Amanita,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,NA,NA
75,Amanita muscaria,61.27,Amanita,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Obligate association,Symbiotroph
76,Amanita phalloides,40.39,Amanita,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Obligate association,Symbiotroph
77,Amanita pseudoporphyria,52.49,Amanita,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,NA,NA
78,Amanita rubescens,76.59,Amanita,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Obligate association,Symbiotroph
79,Amauroascus mutatus,30.38,Amauroascus,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,NA,NA
80,Amauroascus niger,36.72,Amauroascus,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,NA,NA
81,Amauroderma rugosum,40.66,Amauroderma,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,NA,NA
82,Ambrosiella cleistominuta,27.08,Ambrosiella,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,NA,NA
83,Ambrosiella xylebori,27.2,Ambrosiella,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,NA,NA
84,Ambrosiozyma kashinagicola,12.32,Ambrosiozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,NA,NA
85,Ambrosiozyma monospora,24.98,Ambrosiozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,NA,NA
86,Ambrosiozyma philentoma,17.7,Ambrosiozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,NA,NA
87,Ambrosiozyma platypodis,14.87,Ambrosiozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,NA,NA
88,Ambrosiozyma pseudovanderkliftii,14.44,Ambrosiozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,NA,NA
89,Ambrosiozyma vanderkliftii,15.62,Ambrosiozyma,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycopsidaceae,NA,NA
90,Amesia nigricolor,31.02,Amesia,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
91,Amniculicola lignicola,49.58,Amniculicola,Ascomycota,Dothideomycetes,Pleosporales,Amniculicolaceae,NA,NA
92,Amorphotheca resinae,33.19,Amorphotheca,Ascomycota,Eurotiomycetes,Not assigned,Amorphothecaceae,NA,NA
93,Amorphotheca resinae,33.19,Amorphotheca,Ascomycota,Eurotiomycetes,Not assigned,Amorphothecaceae,NA,NA
94,Amorphotheca resinae,33.19,Amorphotheca,Ascomycota,Eurotiomycetes,Not assigned,Amorphothecaceae,NA,NA
95,Ampelomyces quisqualis,36.81,Ampelomyces,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA
96,Amphirosellinia nigrospora,48.18,Amphirosellinia,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,NA
97,Amphirosellinia nigrospora,48.18,Amphirosellinia,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,NA
98,Amylocarpus encephaloides,46.29,Amylocarpus,Ascomycota,Leotiomycetes,Helotiales,Not assigned,NA,NA
99,Amylocorticium subincarnatum,45.93,Amylocorticium,Basidiomycota,Agaricomycetes,Amylocorticiales,Amylocorticiaceae,NA,NA
100,Amylocystis lapponica,35.5,Amylocystis,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
101,Amyloporia sinuosa,30.17,Amyloporia,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,NA,NA
102,Amylostereum areolatum,57.57,Amylostereum,Basidiomycota,Agaricomycetes,Russulales,Amylostereaceae,NA,NA
103,Amylostereum chailletii,38.2,Amylostereum,Basidiomycota,Agaricomycetes,Russulales,Amylostereaceae,Facultative association,Patotroph
104,Anaeromyces robustus,71.69,Anaeromyces,Chytridiomycota,Neocallimastigomycetes,Neocallimastigales,Neocallimastigaceae,NA,NA
105,Annulohypoxylon bovei,41.76,Annulohypoxylon,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,NA,NA
106,Annulohypoxylon maeteangense,38.25,Annulohypoxylon,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,NA,NA
107,Annulohypoxylon maeteangense,38.25,Annulohypoxylon,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,NA,NA
108,Annulohypoxylon moriforme,42.66,Annulohypoxylon,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,NA,NA
109,Annulohypoxylon nitens,38.54,Annulohypoxylon,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,NA,NA
110,Annulohypoxylon stygium,39.84,Annulohypoxylon,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,NA,NA
111,Annulohypoxylon truncatum,38.29,Annulohypoxylon,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,NA,NA
112,Anomoloma albolutescens,41.35,Anomoloma,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
113,Anomoloma myceliosum,45.71,Anomoloma,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
114,Anomoporia bombycina,44.48,Anomoporia,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
115,Anomoporia bombycina,44.48,Anomoporia,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
116,Anomoporia kamtschatica,63.22,Anomoporia,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
117,Antarctomyces pellizariae,24.22,Antarctomyces,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,NA,NA
118,Anthostomella tomicoides,54.28,Anthostomella,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,NA
119,Anthostomelloides leucospermi,53.17,Anthostomelloides,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,NA,NA
120,Anthracobia melaloma,34.2,Anthracobia,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
121,Anthracocystis flocculosa,24.26,Anthracocystis,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,NA,NA
122,Antinoa pulchella,54.53,Antinoa,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
123,Aphanobasidium pseudotsugae,32.2,Aphanobasidium,Basidiomycota,Agaricomycetes,Agaricales,Pterulaceae,NA,NA
124,Apiotrichum brassicae,23.65,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
125,Apiotrichum domesticum,24.51,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
126,Apiotrichum gamsii,24.61,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
127,Apiotrichum gracile,24.11,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
128,Apiotrichum laibachii,30.62,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
129,Apiotrichum laibachii,30.62,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
130,Apiotrichum montevideense,24.87,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
131,Apiotrichum mycotoxinovorans,30.59,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
132,Apiotrichum veenhuisii,31.62,Apiotrichum,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,NA,NA
133,Aplosporella prunicola,32.82,Aplosporella,Ascomycota,Dothideomycetes,Botryosphaeriales,Aplosporellaceae,NA,NA
134,Apodospora peruviana,42.02,Apodospora,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
135,Apophysomyces elegans,38.47,Apophysomyces,Mucoromycota,Mucoromycetes,Mucorales,Saksenaeaceae,NA,NA
136,Apophysomyces ossiformis,34.08,Apophysomyces,Mucoromycota,Mucoromycetes,Mucorales,Saksenaeaceae,NA,NA
137,Apophysomyces trapeziformis,35.84,Apophysomyces,Mucoromycota,Mucoromycetes,Mucorales,Saksenaeaceae,NA,NA
138,Aquanectria penicillioides,53.76,Aquanectria,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
139,Aquilomyces patris,49.87,Aquilomyces,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,NA,NA
140,Arachnopeziza aranea,32.68,Arachnopeziza,Ascomycota,Leotiomycetes,Helotiales,Arachnopezizaceae,NA,NA
141,Arachnopeziza araneosa,40.45,Arachnopeziza,Ascomycota,Leotiomycetes,Helotiales,Arachnopezizaceae,NA,NA
142,Arachnopeziza aurata,32.2,Arachnopeziza,Ascomycota,Leotiomycetes,Helotiales,Arachnopezizaceae,NA,NA
143,Armillaria borealis,69.2,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,AFree living,Saprotroph
144,Armillaria calvescens,75.31,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
145,Armillaria cepistipes,75.62,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
146,Armillaria fumosa,55.82,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
147,Armillaria fuscipes,52.98,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
148,Armillaria gallica,85.16,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
149,Armillaria gemina,58.52,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
150,Armillaria luteobubalina,97.11,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
151,Armillaria mellea,69.98,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Facultative association,Pathotroph-Saprotroph
152,Armillaria mellea,69.98,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Facultative association,Pathotroph-Saprotroph
153,Armillaria nabsnona,63.96,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
154,Armillaria ostoyae,58.94,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Facultative association,Pathotroph-Saprotroph
155,Armillaria sinapina,87.53,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,NA,NA
156,Armillaria solidipes,58.01,Armillaria,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Facultative association,Pathotroph-Saprotroph
157,Arthonia radiata,33.5,Arthonia,Ascomycota,Arthoniomycetes,Arthoniales,Arthoniaceae,NA,NA
158,Arthrinium arundinis,47.67,Arthrinium,Ascomycota,Sordariomycetes,Not assigned,Apiosporaceae,Facultative association,Pathotroph-Saprotroph
159,Arthrinium arundinis,47.67,Arthrinium,Ascomycota,Sordariomycetes,Not assigned,Apiosporaceae,Facultative association,Pathotroph-Saprotroph
160,Arthrinium malaysianum,46.11,Arthrinium,Ascomycota,Sordariomycetes,Not assigned,Apiosporaceae,NA,NA
161,Arthrinium phaeospermum,48.45,Arthrinium,Ascomycota,Sordariomycetes,Not assigned,Apiosporaceae,Facultative association,Symbiotroph
162,Arthrobotrys brochopagus,35.43,Arthrobotrys,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
163,Arthrobotrys cylindrosporus,37.71,Arthrobotrys,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
164,Arthrobotrys flagrans,36.26,Arthrobotrys,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,NA,NA
165,Arthrocladium fulminans,27.2,Arthrocladium,Ascomycota,Not assigned,Not assigned,Not assigned,NA,NA
166,Arthroderma gypseum,23.255,Arthroderma,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,NA,NA
167,Arthroderma gypseum,23.255,Arthroderma,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,NA,NA
168,Arthroderma gypseum,23.255,Arthroderma,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,NA,NA
169,Arthroderma gypseum,23.255,Arthroderma,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,NA,NA
170,Artomyces pyxidatus,37.99,Artomyces,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,NA,NA
171,Artomyces pyxidatus,37.99,Artomyces,Basidiomycota,Agaricomycetes,Russulales,Auriscalpiaceae,NA,NA
172,Aschersonia aleyrodis,30.87,Aschersonia,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
173,Ascobolus foliicola,53.01,Ascobolus,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,NA,NA
174,Ascobolus furfuraceus,48.83,Ascobolus,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,NA,NA
175,Ascobolus immersus,59.53,Ascobolus,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,NA,NA
176,Ascobolus minutus,72.58,Ascobolus,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,NA,NA
177,Ascocorticium anomalum,16.34,Ascocorticium,Ascomycota,Leotiomycetes,Helotiales,Ascocorticiaceae,NA,NA
178,Ascocorticium anomalum,16.34,Ascocorticium,Ascomycota,Leotiomycetes,Helotiales,Ascocorticiaceae,NA,NA
179,Ascocoryne cylichnium,24.51,Ascocoryne,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
180,Ascocoryne lilacina,34.96,Ascocoryne,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
181,Ascocoryne sarcoides,31.44,Ascocoryne,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
182,Ascodesmis nigricans,27.39,Ascodesmis,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,NA,NA
183,Ascoidea asiatica,20.31,Ascoidea,Ascomycota,Saccharomycetes,Saccharomycetales,Ascoideaceae,NA,NA
184,Ascoidea rubescens,17.5,Ascoidea,Ascomycota,Saccharomycetes,Saccharomycetales,Ascoideaceae,NA,NA
185,Ascosphaera apis,22.19,Ascosphaera,Ascomycota,Eurotiomycetes,Ascosphaerales,Ascosphaeraceae,NA,NA
186,Ascotremella faginea,65.17,Ascotremella,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
187,Aspergillus acidus,37.47,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
188,Aspergillus aculeatinus,36.47,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
189,Aspergillus aculeatus,35.41,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Facultative association,Pathotroph
190,Aspergillus alabamensis,31.99,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
191,Aspergillus albertensis,40.14,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
192,Aspergillus allahabadii,29.78,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
193,Aspergillus alliaceus,40.17,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,B_Opportunistic association,Pathotroph
194,Aspergillus alliaceus,40.17,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,B_Opportunistic association,Pathotroph
195,Aspergillus ambiguus,29.37,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
196,Aspergillus amylovorus,34.89,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
197,Aspergillus arachidicola,39.33,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
198,Aspergillus arxii,27.92,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
199,Aspergillus assulatus,30.73,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
200,Aspergillus astellatus,35.18,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
201,Aspergillus aurantiobrunneus,31.38,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
202,Aspergillus aurantiobrunneus,31.38,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
203,Aspergillus aureofulgens,32.9,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
204,Aspergillus aureolatus,29.57,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
205,Aspergillus aureoluteus,33.75,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
206,Aspergillus aureoterreus,29.52,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
207,Aspergillus avenaceus,33.77,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,B_Opportunistic association,Pathotroph
208,Aspergillus awamori,37.13,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
209,Aspergillus biplanus,42.03,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
210,Aspergillus bisporus,27.1,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
211,Aspergillus bombycis,37.47,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
212,Aspergillus botucatensis,34.49,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,NA,NA
213,Aspergillus brasiliensis,35.81,Aspergillus,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,B_Opportunistic association,Pathotroph
