State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Chiloglottis sp. Brindabellas (D.L.Jones 16208),native,Chiloglottis sp. Brindabellas (D.L.Jones 16208) Australian National Herbarium,Chiloglottis sp. Brindabellas (D.L.Jones 16208),native,Australian National Herbarium,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis trapeziformis,native,Chiloglottis trapeziformis Fitzg.,Chiloglottis trapeziformis,native,Fitzg.,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis trilabra,native,Chiloglottis trilabra Fitzg.,Chiloglottis trilabra,native,Fitzg.,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis turfosa,native,Chiloglottis turfosa D.L.Jones,Chiloglottis turfosa,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis valida,native,Chiloglottis valida D.L.Jones,Chiloglottis valida,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Chiloglottis x pescottiana,native,Chiloglottis x pescottiana R.S.Rogers,Chiloglottis x pescottiana,native,R.S.Rogers,accepted,Similar for the state flora and the APC,native,native,native
Chloris gayana,doubtfully naturalised,Chloris gayana Kunth,Chloris gayana,doubtfully naturalised,Kunth,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Chloris truncata,native,Chloris truncata R.Br.,Chloris truncata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Chloris virgata,introduced,Chloris virgata Sw.,Chloris virgata,naturalised,Sw.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Chondrilla juncea,introduced,Chondrilla juncea L.,Chondrilla juncea,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Choretrum pauciflorum,native,Choretrum pauciflorum A.DC.,Choretrum pauciflorum,native,A.DC.,accepted,Similar for the state flora and the APC,native,native,native
Chrysocephalum apiculatum subsp. argenteum,native,Chrysocephalum apiculatum subsp. argenteum Paul G.Wilson,Chrysocephalum apiculatum subsp. argenteum,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Chrysocephalum apiculatum subsp. variabile,native,Chrysocephalum apiculatum subsp. variabile Paul G.Wilson,Chrysocephalum apiculatum subsp. variabile,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Chrysocephalum semipapposum,native,Chrysocephalum semipapposum (Labill.) Steetz,Chrysocephalum semipapposum,NA,(Labill.) Steetz,accepted,Not recorded on the APC as present in this state,native,native,native
Cicendia quadrangularis,introduced,Cicendia quadrangularis (Dombey ex Lam.) Griseb.,Cicendia quadrangularis,naturalised,(Dombey ex Lam.) Griseb.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cichorium intybus,introduced,Cichorium intybus L.,Cichorium intybus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cirsium vulgare,introduced,Cirsium vulgare (Savi) Ten.,Cirsium vulgare,naturalised,(Savi) Ten.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cistus salviifolius,introduced,Cistus salviifolius L.,Cistus salviifolius,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Citrullus amarus,introduced,Citrullus amarus Schrad.,Citrullus amarus,naturalised,Schrad.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Clematis aristata,native,Clematis aristata R.Br. ex Ker Gawl.,Clematis aristata,native,R.Br. ex Ker Gawl.,accepted,Similar for the state flora and the APC,native,native,native
Clematis leptophylla,native,Clematis leptophylla (F.Muell. ex Benth.) H.Eichler,Clematis leptophylla,native,(F.Muell. ex Benth.) H.Eichler,accepted,Similar for the state flora and the APC,native,native,native
Collomia grandiflora,formerly naturalised,Collomia grandiflora Douglas ex Lindl.,Collomia grandiflora,doubtfully naturalised,Douglas ex Lindl.,accepted,"According to the state flora is formerly naturalised, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Comesperma ericinum,native,Comesperma ericinum DC.,Comesperma ericinum,native,DC.,accepted,Similar for the state flora and the APC,native,native,native
Comesperma retusum,native,Comesperma retusum Labill.,Comesperma retusum,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Comesperma volubile,native,Comesperma volubile Labill.,Comesperma volubile,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Conium maculatum,introduced,Conium maculatum L.,Conium maculatum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Convolvulus angustissimus subsp. angustissimus,native,Convolvulus angustissimus R.Br. subsp. angustissimus,Convolvulus angustissimus subsp. angustissimus,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Convolvulus arvensis,introduced,Convolvulus arvensis L.,Convolvulus arvensis,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Coprosma hirtella,native,Coprosma hirtella Labill.,Coprosma hirtella,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Coprosma nivalis,native,Coprosma nivalis W.R.B.Oliv.,Coprosma nivalis,native,W.R.B.Oliv.,accepted,Similar for the state flora and the APC,native,native,native
Coprosma quadrifida,native,Coprosma quadrifida (Labill.) B.L.Rob.,Coprosma quadrifida,native,(Labill.) B.L.Rob.,accepted,Similar for the state flora and the APC,native,native,native
Coreopsis lanceolata,introduced,Coreopsis lanceolata L.,Coreopsis lanceolata,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Coronidium gunnianum,native,Coronidium gunnianum (Hook.) N.G.Walsh,Coronidium gunnianum,native,(Hook.) N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Coronidium monticola,native,Coronidium monticola N.G.Walsh,Coronidium monticola,native,N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Coronidium oxylepis subsp. lanatum,native,Coronidium oxylepis subsp. lanatum Paul G.Wilson,Coronidium oxylepis subsp. lanatum,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Coronidium scorpioides,native,Coronidium scorpioides (Labill.) Paul G.Wilson,Coronidium scorpioides,native,(Labill.) Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Coronidium waddelliae,native,Coronidium waddelliae (J.H.Willis) Paul G.Wilson,Coronidium waddelliae,native,(J.H.Willis) Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Correa lawrenceana var. lawrenceana,native,Correa lawrenceana Hook. var. lawrenceana,Correa lawrenceana var. lawrenceana,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Correa reflexa var. reflexa,native,Correa reflexa (Labill.) Vent. var. reflexa,Correa reflexa var. reflexa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Correa reflexa var. speciosa,doubtfully naturalised,Correa reflexa var. speciosa (Donn ex Andrews) Paul G.Wilson,Correa reflexa var. speciosa,NA,(Donn ex Andrews) Paul G.Wilson,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Cortaderia selloana,doubtfully naturalised,Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.,Cortaderia selloana,doubtfully naturalised,(Schult. & Schult.f.) Asch. & Graebn.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Corunastylis arrecta,native,Corunastylis arrecta (D.L.Jones) D.L.Jones & M.A.Clem.,Corunastylis arrecta,native,(D.L.Jones) D.L.Jones & M.A.Clem.,accepted,Similar for the state flora and the APC,native,native,native
Corunastylis clivicola,native,Corunastylis clivicola D.L.Jones,Corunastylis clivicola,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Corunastylis cornuta,native,Corunastylis cornuta D.L.Jones,Corunastylis cornuta,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Corunastylis ectopa,native,Corunastylis ectopa (D.L.Jones) D.L.Jones & M.A.Clem.,Corunastylis ectopa,native,(D.L.Jones) D.L.Jones & M.A.Clem.,accepted,Similar for the state flora and the APC,native,native,native
Corunastylis nuda,native,Corunastylis nuda (Hook.f.) D.L.Jones & M.A.Clem.,Corunastylis nuda,native,(Hook.f.) D.L.Jones & M.A.Clem.,accepted,Similar for the state flora and the APC,native,native,native
Corysanthes grumula,native,Corybas grumulus (D.L.Jones) G.N.Backh.,Corybas grumulus,native,(D.L.Jones) G.N.Backh.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Corysanthes hispida,native,Corybas hispidus D.L.Jones,Corybas hispidus,native,D.L.Jones,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Corysanthes incurva,native,Corybas incurvus D.L.Jones & M.A.Clem.,Corybas incurvus,native,D.L.Jones & M.A.Clem.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Cosmos bipinnatus,doubtfully naturalised,Cosmos bipinnatus Cav.,Cosmos bipinnatus,naturalised,Cav.,accepted,"According to the state flora is doubtfully naturalised, while according to the APC is naturalised",naturalised,introduced,established
Cotoneaster coriaceus,formerly naturalised,Cotoneaster coriaceus Franch.,Cotoneaster coriaceus,naturalised,Franch.,accepted,"According to the state flora is formerly naturalised, while according to the APC is naturalised",naturalised,introduced,established
Cotoneaster franchetii,introduced,Cotoneaster franchetii Bois,Cotoneaster franchetii,naturalised,Bois,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cotoneaster glaucophyllus,introduced,Cotoneaster glaucophyllus Franch.,Cotoneaster glaucophyllus,naturalised,Franch.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cotoneaster horizontalis,introduced,Cotoneaster horizontalis Decne.,Cotoneaster horizontalis,NA,Decne.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Cotoneaster pannosus,introduced,Cotoneaster pannosus Franch.,Cotoneaster pannosus,naturalised,Franch.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cotoneaster rotundifolius,doubtfully naturalised,Cotoneaster rotundifolius Wall. ex Lindl.,Cotoneaster rotundifolius,doubtfully naturalised,Wall. ex Lindl.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Cotula alpina,native,Cotula alpina (Hook.f.) Hook.f.,Cotula alpina,native,(Hook.f.) Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Cotula australis,native,Cotula australis (Sieber ex Spreng.) Hook.f.,Cotula australis,native,(Sieber ex Spreng.) Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Craspedia adenophora,native,Craspedia adenophora K.L.McDougall & N.G.Walsh,Craspedia adenophora,NA,K.L.McDougall & N.G.Walsh,accepted,Not recorded on the APC as present in this state,native,native,native
Craspedia aurantia var. aurantia,native,Craspedia aurantia J.Everett & Joy Thomps. var. aurantia,Craspedia aurantia var. aurantia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Craspedia aurantia var. jamesii,native,Craspedia aurantia var. jamesii (J.Everett & Joy Thomps.) Schmidt-Leb.,Craspedia aurantia var. jamesii,native,(J.Everett & Joy Thomps.) Schmidt-Leb.,accepted,Similar for the state flora and the APC,native,native,native
Craspedia crocata,native,Craspedia crocata J.Everett & Joy Thomps.,Craspedia crocata,native,J.Everett & Joy Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Craspedia lamicola,native,Craspedia lamicola J.Everett & Joy Thomps.,Craspedia lamicola,NA,J.Everett & Joy Thomps.,accepted,Not recorded on the APC as present in this state,native,native,native
Craspedia paludicola,native,Craspedia paludicola J.Everett & Doust,Craspedia paludicola,NA,J.Everett & Doust,accepted,Not recorded on the APC as present in this state,native,native,native
Craspedia variabilis,native,Craspedia variabilis J.Everett & Doust,Craspedia variabilis,native,J.Everett & Doust,accepted,Similar for the state flora and the APC,native,native,native
Crassula alata var. alata,introduced,Crassula alata (Viv.) A.Berger var. alata,Crassula alata var. alata,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Crassula colorata var. acuminata,native,Crassula colorata var. acuminata (Reader) Toelken,Crassula colorata var. acuminata,native,(Reader) Toelken,accepted,Similar for the state flora and the APC,native,native,native
Crassula decumbens var. decumbens,native,Crassula decumbens Thunb. var. decumbens,Crassula decumbens var. decumbens,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Crassula helmsii,native,Crassula helmsii (Kirk) Cockayne,Crassula helmsii,native,(Kirk) Cockayne,accepted,Similar for the state flora and the APC,native,native,native
Crassula peduncularis,native,Crassula peduncularis (Sm.) F.Meigen,Crassula peduncularis,native,(Sm.) F.Meigen,accepted,Similar for the state flora and the APC,native,native,native
Crassula sieberiana,native,Crassula sieberiana (Schult. & Schult.f.) Druce,Crassula sieberiana,native,(Schult. & Schult.f.) Druce,accepted,Similar for the state flora and the APC,native,native,native
Crataegus monogyna,introduced,Crataegus monogyna Jacq.,Crataegus monogyna,naturalised,Jacq.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Crataegus phaenopyrum,formerly naturalised,Crataegus phaenopyrum (L.f.) Medik.,Crataegus phaenopyrum,NA,(L.f.) Medik.,accepted,Not recorded on the APC as present in this state,formerly naturalised,introduced,not enough information to assign degree of establishment
Crepis capillaris,introduced,Crepis capillaris (L.) Wallr.,Crepis capillaris,naturalised,(L.) Wallr.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Crepis foetida subsp. foetida,introduced,Crepis foetida L. subsp. foetida,Crepis foetida subsp. foetida,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Crocosmia x crocosmiiflora,doubtfully naturalised,Crocosmia x crocosmiiflora (Lemoine ex É.Morren) N.E.Br.,Crocosmia x crocosmiiflora,NA,(Lemoine ex É.Morren) N.E.Br.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Crowea exalata subsp. exalata,native,Crowea exalata F.Muell. subsp. exalata,Crowea exalata subsp. exalata,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Cryptandra amara,native,Cryptandra amara Sm.,Cryptandra amara,native,Sm.,accepted,Similar for the state flora and the APC,native,native,native
Cryptandra sp. Floriferous (W.R.Barker 4131),native,Cryptandra sp. Floriferous (W.R.Barker 4131) W.R.Barker,Cryptandra sp. Floriferous (W.R.Barker 4131),native,W.R.Barker,accepted,Similar for the state flora and the APC,native,native,native
Cryptandra speciosa subsp. speciosa,native,Cryptandra speciosa A.Cunn. ex Kellermann & Udovicic subsp. speciosa,Cryptandra speciosa subsp. speciosa,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Cucumis myriocarpus subsp. myriocarpus,introduced,Cucumis myriocarpus Naudin subsp. myriocarpus,Cucumis myriocarpus subsp. myriocarpus,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cullen microcephalum,native,Cullen microcephalum (Rchb. ex Kunze) J.W.Grimes,Cullen microcephalum,native,(Rchb. ex Kunze) J.W.Grimes,accepted,Similar for the state flora and the APC,native,native,native
Cullen tenax,native,Cullen tenax (Lindl.) J.W.Grimes,Cullen tenax,native,(Lindl.) J.W.Grimes,accepted,Similar for the state flora and the APC,native,native,native
Cyathea australis subsp. australis,native,Cyathea australis (R.Br.) Domin subsp. australis,Cyathea australis subsp. australis,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Cyclospermum leptophyllum,introduced,Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson,Cyclospermum leptophyllum,naturalised,(Pers.) Sprague ex Britton & P.Wilson,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cycnogeton multifructum,native,Cycnogeton multifructum (Aston) Mering & Kadereit,Cycnogeton multifructum,native,(Aston) Mering & Kadereit,accepted,Similar for the state flora and the APC,native,native,native
Cylindropuntia pallida,doubtfully naturalised,Cylindropuntia pallida (Rose) F.M.Knuth,Cylindropuntia pallida,NA,(Rose) F.M.Knuth,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Cymbonotus lawsonianus,native,Cymbonotus lawsonianus Gaudich.,Cymbonotus lawsonianus,native,Gaudich.,accepted,Similar for the state flora and the APC,native,native,native
Cymbonotus preissianus,native,Cymbonotus preissianus Steetz,Cymbonotus preissianus,native,Steetz,accepted,Similar for the state flora and the APC,native,native,native
Cymbopogon refractus,native,Cymbopogon refractus (R.Br.) A.Camus,Cymbopogon refractus,native,(R.Br.) A.Camus,accepted,Similar for the state flora and the APC,native,native,native
Cynara cardunculus subsp. flavescens,doubtfully naturalised,Cynara cardunculus subsp. flavescens Wiklund,Cynara cardunculus subsp. flavescens,doubtfully naturalised,Wiklund,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Cynodon dactylon var. dactylon,introduced,Cynodon dactylon (L.) Pers. var. dactylon,Cynodon dactylon var. dactylon,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cynoglossum australe,native,Cynoglossum australe R.Br.,Cynoglossum australe,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Cynosurus echinatus,introduced,Cynosurus echinatus L.,Cynosurus echinatus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cyperus concinnus,native,Cyperus concinnus R.Br.,Cyperus concinnus,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Cyperus congestus,introduced,Cyperus congestus Vahl,Cyperus congestus,naturalised,Vahl,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cyperus difformis,native,Cyperus difformis L.,Cyperus difformis,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Cyperus eragrostis,introduced,Cyperus eragrostis Lam.,Cyperus eragrostis,naturalised,Lam.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cyperus exaltatus,native,Cyperus exaltatus Retz.,Cyperus exaltatus,NA,Retz.,accepted,Not recorded on the APC as present in this state,native,native,native
Cyperus gunnii subsp. gunnii,native,Cyperus gunnii Hook.f. subsp. gunnii,Cyperus gunnii subsp. gunnii,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Cyperus lhotskyanus,native,Cyperus lhotskyanus Boeckeler,Cyperus lhotskyanus,native,Boeckeler,accepted,Similar for the state flora and the APC,native,native,native
Cyperus lucidus,native,Cyperus lucidus R.Br.,Cyperus lucidus,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Cyperus rotundus,introduced,Cyperus rotundus L.,Cyperus rotundus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cyperus sanguinolentus,native,Cyperus sanguinolentus Vahl,Cyperus sanguinolentus,native,Vahl,accepted,Similar for the state flora and the APC,native,native,native
Cyperus sphaeroideus,native,Cyperus sphaeroideus L.A.S.Johnson & O.D.Evans,Cyperus sphaeroideus,native,L.A.S.Johnson & O.D.Evans,accepted,Similar for the state flora and the APC,native,native,native
Cyphanthera albicans subsp. albicans,native,Cyphanthera albicans (A.Cunn.) Miers subsp. albicans,Cyphanthera albicans subsp. albicans,NA,NA,accepted,Not recorded on the APC as present in this state,native,native,native
Cyrtomium falcatum,introduced,Cyrtomium falcatum (L.f.) C.Presl,Cyrtomium falcatum,naturalised,(L.f.) C.Presl,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Cyrtostylis reniformis,native,Cyrtostylis reniformis R.Br.,Cyrtostylis reniformis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Cytisus scoparius,introduced,Cytisus scoparius (L.) Link,Cytisus scoparius,naturalised,(L.) Link,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Dactylis glomerata,introduced,Dactylis glomerata L.,Dactylis glomerata,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Dampiera fusca,native,Dampiera fusca Rajput & Carolin,Dampiera fusca,native,Rajput & Carolin,accepted,Similar for the state flora and the APC,native,native,native
Darwinia citriodora,doubtfully naturalised,Darwinia citriodora (Endl.) Benth.,Darwinia citriodora,NA,(Endl.) Benth.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Datura ferox,doubtfully naturalised,Datura ferox L.,Datura ferox,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Datura stramonium,introduced,Datura stramonium L.,Datura stramonium,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Daucus glochidiatus,native,"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",Daucus glochidiatus,native,"(Labill.) Fisch., C.A.Mey. & Ave-Lall.",accepted,Similar for the state flora and the APC,native,native,native
Daviesia acicularis,uncertain origin,Daviesia acicularis Sm.,Daviesia acicularis,native,Sm.,accepted,"According to the state flora is uncertain origin, while according to the APC is native",uncertain origin,uncertain,uncertain
Daviesia genistifolia,native,Daviesia genistifolia A.Cunn. ex Benth.,Daviesia genistifolia,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Daviesia leptophylla,native,Daviesia leptophylla A.Cunn. ex G.Don,Daviesia leptophylla,native,A.Cunn. ex G.Don,accepted,Similar for the state flora and the APC,native,native,native
Daviesia leptophylla x Daviesia mimosoides,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Daviesia mimosoides subsp. acris,native,Daviesia mimosoides subsp. acris Crisp,Daviesia mimosoides subsp. acris,native,Crisp,accepted,Similar for the state flora and the APC,native,native,native
Daviesia mimosoides subsp. mimosoides,native,Daviesia mimosoides R.Br. subsp. mimosoides,Daviesia mimosoides subsp. mimosoides,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Daviesia ulicifolia subsp. ruscifolia,native,Daviesia ulicifolia subsp. ruscifolia (A.Cunn. ex Benth.) G.Chandler & Crisp,Daviesia ulicifolia subsp. ruscifolia,native,(A.Cunn. ex Benth.) G.Chandler & Crisp,accepted,Similar for the state flora and the APC,native,native,native
Desmodium brachypodum,native,Oxytes brachypoda (A.Gray) H.Ohashi & K.Ohashi,Oxytes brachypoda,native,(A.Gray) H.Ohashi & K.Ohashi,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Desmodium gunnii,native,Pullenia gunnii (Benth. ex Hook.f.) H.Ohashi & K.Ohashi,Pullenia gunnii,native,(Benth. ex Hook.f.) H.Ohashi & K.Ohashi,basionym,Similar for the state flora and the APC,native,native,native
Desmodium varians,native,Desmodium varians (Labill.) G.Don,Desmodium varians,native,(Labill.) G.Don,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia boormanii,native,Deyeuxia boormanii (Vickery) N.G.Walsh,Deyeuxia boormanii,native,(Vickery) N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia brachyathera,native,Deyeuxia brachyathera (Stapf) Vickery,Deyeuxia brachyathera,native,(Stapf) Vickery,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia breviglumis,native,Deyeuxia breviglumis Benth.,Deyeuxia breviglumis,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia carinata,native,Deyeuxia carinata Vickery,Deyeuxia carinata,native,Vickery,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia crassiuscula,native,Deyeuxia crassiuscula Vickery,Deyeuxia crassiuscula,native,Vickery,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia frigida,native,Deyeuxia frigida F.Muell. ex Benth.,Deyeuxia frigida,native,F.Muell. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia gunniana,native,Deyeuxia gunniana (Nees) Benth.,Deyeuxia gunniana,native,(Nees) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia imbricata,native,Deyeuxia imbricata Vickery,Deyeuxia imbricata,native,Vickery,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia innominata,native,Deyeuxia innominata D.I.Morris,Deyeuxia innominata,native,D.I.Morris,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia monticola,native,Deyeuxia monticola (Roem. & Schult.) Vickery,Deyeuxia monticola,native,(Roem. & Schult.) Vickery,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia quadriseta,native,Deyeuxia quadriseta (Labill.) Benth.,Deyeuxia quadriseta,native,(Labill.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia rodwayi,native,Deyeuxia rodwayi Vickery,Deyeuxia rodwayi,native,Vickery,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia scaberula,native,Deyeuxia scaberula Vickery,Deyeuxia scaberula,native,Vickery,accepted,Similar for the state flora and the APC,native,native,native
Deyeuxia valida,native,Deyeuxia valida (Vickery) C.M.Weiller,Deyeuxia valida,native,(Vickery) C.M.Weiller,accepted,Similar for the state flora and the APC,native,native,native
Dianella longifolia var. longifolia,native,Dianella longifolia R.Br. var. longifolia,Dianella longifolia var. longifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Dianella revoluta var. revoluta,native,Dianella revoluta R.Br. var. revoluta,Dianella revoluta var. revoluta,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Dianella tasmanica,native,Dianella tasmanica Hook.f.,Dianella tasmanica,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Dichanthium sericeum subsp. sericeum,native,Dichanthium sericeum (R.Br.) A.Camus subsp. sericeum,Dichanthium sericeum subsp. sericeum,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Dichelachne crinita,native,Dichelachne crinita (L.f.) Hook.f.,Dichelachne crinita,native,(L.f.) Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Dichelachne hirtella,native,Dichelachne hirtella N.G.Walsh,Dichelachne hirtella,native,N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Dichelachne micrantha,native,Dichelachne micrantha (Cav.) Domin,Dichelachne micrantha,native,(Cav.) Domin,accepted,Similar for the state flora and the APC,native,native,native
Dichelachne rara,native,Dichelachne rara (R.Br.) Vickery,Dichelachne rara,native,(R.Br.) Vickery,accepted,Similar for the state flora and the APC,native,native,native
Dichelachne sieberiana,native,Dichelachne sieberiana Trin. & Rupr.,Dichelachne sieberiana,native,Trin. & Rupr.,accepted,Similar for the state flora and the APC,native,native,native
Dichondra repens,native,Dichondra repens J.R.Forst. & G.Forst.,Dichondra repens,native,J.R.Forst. & G.Forst.,accepted,Similar for the state flora and the APC,native,native,native
Dicksonia antarctica,native,Dicksonia antarctica Labill.,Dicksonia antarctica,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Digitaria brownii,native,Digitaria brownii (Roem. & Schult.) Hughes,Digitaria brownii,native,(Roem. & Schult.) Hughes,accepted,Similar for the state flora and the APC,native,native,native
Digitaria ciliaris,introduced,Digitaria ciliaris (Retz.) Koeler,Digitaria ciliaris,naturalised,(Retz.) Koeler,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Digitaria diffusa,native,Digitaria diffusa Vickery,Digitaria diffusa,NA,Vickery,accepted,Not recorded on the APC as present in this state,native,native,native
Digitaria divaricatissima var. divaricatissima,doubtfully naturalised,Digitaria divaricatissima (R.Br.) Hughes var. divaricatissima,Digitaria divaricatissima var. divaricatissima,doubtfully naturalised,NA,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Digitaria ischaemum,formerly naturalised,Digitaria ischaemum (Schreb.) Muhl.,Digitaria ischaemum,naturalised,(Schreb.) Muhl.,accepted,"According to the state flora is formerly naturalised, while according to the APC is naturalised",naturalised,introduced,established
