Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil,
497,,Nitrate 2,-0.0378,mg N/L,0.010581,Tue May 13 19:44:29 2025,1,1,
496,,Nitrate 2,-0.0248,mg N/L,0.014037,Tue May 13 19:46:34 2025,1,1,
495,,Nitrate 2,-0.0407,mg N/L,0.009787,Tue May 13 19:48:38 2025,1,1,
494,,Nitrate 2,-0.0446,mg N/L,0.00876,Tue May 13 19:50:42 2025,1,1,
493,,Nitrate 2,-0.0257,mg N/L,0.013785,Tue May 13 19:52:45 2025,1,1,
492,,Nitrate 2,-0.0391,mg N/L,0.010228,Tue May 13 19:54:48 2025,1,1,
491,,Nitrate 2,-0.0458,mg N/L,0.008438,Tue May 13 19:56:52 2025,1,1,
490,,Nitrate 2,-0.0063,mg N/L,0.018974,Tue May 13 19:58:55 2025,1,1,
488,,Nitrate 2,0.8477,mg N/L,0.246545,Tue May 13 20:00:58 2025,1,1,
487,,Nitrate 2,-0.0384,mg N/L,0.010404,Tue May 13 20:03:00 2025,1,1,
C C V,,Nitrate 2,1.0563,mg N/L,0.302137,Tue May 13 20:05:03 2025,1,1,
C C B ,,Nitrate 2,-0.0352,mg N/L,0.011258,Tue May 13 20:07:06 2025,1,1,
486,,Nitrate 2,-0.0433,mg N/L,0.009112,Tue May 13 20:09:09 2025,1,1,
485,,Nitrate 2,-0.0361,mg N/L,0.011022,Tue May 13 20:11:14 2025,1,1,
484,,Nitrate 2,-0.0459,mg N/L,0.008409,Tue May 13 20:13:18 2025,1,1,
483,,Nitrate 2,-0.0256,mg N/L,0.013815,Tue May 13 20:15:21 2025,1,1,
482,,Nitrate 2,0.018,mg N/L,0.025441,Tue May 13 20:17:23 2025,1,1,
481,,Nitrate 2,0.5255,mg N/L,0.160682,Tue May 13 20:19:26 2025,1,1,
548,,Nitrate 2,-0.0447,mg N/L,0.008731,Tue May 13 20:21:28 2025,1,1,
550,,Nitrate 2,-0.0468,mg N/L,0.008175,Tue May 13 20:23:31 2025,1,1,
551,,Nitrate 2,-0.0327,mg N/L,0.011922,Tue May 13 20:25:33 2025,1,1,
552,,Nitrate 2,-0.0408,mg N/L,0.009772,Tue May 13 20:27:35 2025,1,1,
C C V,,Nitrate 2,1.0609,mg N/L,0.303348,Tue May 13 20:29:38 2025,1,1,
C C B ,,Nitrate 2,-0.0342,mg N/L,0.011523,Tue May 13 20:31:40 2025,1,1,
553,,Nitrate 2,-0.0221,mg N/L,0.014764,Tue May 13 20:33:43 2025,1,1,
554,,Nitrate 2,-0.0381,mg N/L,0.010492,Tue May 13 20:35:48 2025,1,1,
555,,Nitrate 2,-0.0372,mg N/L,0.010743,Tue May 13 20:37:52 2025,1,1,
549,,Nitrate 2,0.0535,mg N/L,0.034907,Tue May 13 20:39:54 2025,1,1,
538,,Nitrate 2,-0.0443,mg N/L,0.008848,Tue May 13 20:41:56 2025,1,1,
539,,Nitrate 2,0.0067,mg N/L,0.022437,Tue May 13 20:43:58 2025,1,1,
540,,Nitrate 2,-0.0424,mg N/L,0.009332,Tue May 13 20:46:01 2025,1,1,
541,,Nitrate 2,-0.044,mg N/L,0.008921,Tue May 13 20:48:03 2025,1,1,
543,,Nitrate 2,-0.0383,mg N/L,0.010448,Tue May 13 20:50:05 2025,1,1,
545,,Nitrate 2,-0.0387,mg N/L,0.010331,Tue May 13 20:52:07 2025,1,1,
C C V,,Nitrate 2,1.0489,mg N/L,0.300155,Tue May 13 20:54:08 2025,1,1,
C C B ,,Nitrate 2,-0.0341,mg N/L,0.011553,Tue May 13 20:56:11 2025,1,1,
546,,Nitrate 2,43.4625,mg N/L,0.599754,Tue May 13 22:03:04 2025,1,20,RR
547,,Nitrate 2,-0.0375,mg N/L,0.01064,Tue May 13 21:00:18 2025,1,1,
542,,Nitrate 2,-0.0415,mg N/L,0.009596,Tue May 13 21:02:23 2025,1,1,
531,,Nitrate 2,-0.0218,mg N/L,0.014839,Tue May 13 21:04:25 2025,1,1,
532,,Nitrate 2,-0.0244,mg N/L,0.014141,Tue May 13 21:06:27 2025,1,1,
533,,Nitrate 2,-0.0431,mg N/L,0.009156,Tue May 13 21:08:29 2025,1,1,
534,,Nitrate 2,0.0304,mg N/L,0.028758,Tue May 13 21:10:31 2025,1,1,
535,,Nitrate 2,-0.0426,mg N/L,0.009303,Tue May 13 21:12:34 2025,1,1,
536,,Nitrate 2,0.1189,mg N/L,0.052321,Tue May 13 21:14:36 2025,1,1,
537,,Nitrate 2,0.3379,mg N/L,0.110688,Tue May 13 21:16:41 2025,1,1,
C C V,,Nitrate 2,1.0358,mg N/L,0.296673,Tue May 13 21:18:45 2025,1,1,
C C B ,,Nitrate 2,-0.0389,mg N/L,0.010287,Tue May 13 21:19:40 2025,1,1,
530,,Nitrate 2,-0.0376,mg N/L,0.010625,Tue May 13 21:20:35 2025,1,1,
524,,Nitrate 2,-0.0394,mg N/L,0.01014,Tue May 13 21:21:30 2025,1,1,
525,,Nitrate 2,-0.0123,mg N/L,0.017372,Tue May 13 21:22:24 2025,1,1,
526,,Nitrate 2,-0.0451,mg N/L,0.008628,Tue May 13 21:23:19 2025,1,1,
527,,Nitrate 2,-0.0479,mg N/L,0.007882,Tue May 13 21:24:14 2025,1,1,
528,,Nitrate 2,-0.0479,mg N/L,0.007882,Tue May 13 21:25:08 2025,1,1,
C C V,,Nitrate 2,1.0268,mg N/L,0.294263,Tue May 13 21:26:03 2025,1,1,
C C B ,,Nitrate 2,-0.0389,mg N/L,0.010272,Tue May 13 21:26:58 2025,1,1,
CCV,,Nitrate 2,1.0018,mg N/L,0.287613,Tue May 13 21:42:55 2025,1,1,
CCB,,Nitrate 2,-0.0377,mg N/L,0.01061,Tue May 13 21:43:50 2025,1,1,
CCV,,Nitrate 2,1.0141,mg N/L,0.290883,Tue May 13 21:46:35 2025,1,1,
CCB,,Nitrate 2,-0.0367,mg N/L,0.010875,Tue May 13 21:47:30 2025,1,1,
