Site,Plot,reads_samp,Fire_Treatment,Tube,weight_mg,Sample_Type,Samplename_ITS,sample_num,barcode,OTU,count,resampled_count,resampled_date,kingdom,phylum,class,order,family,genus,species,n,score,SH_species,SH_gb_acc,SH_sh_acc,SH_type,identity,coverage,trophicMode,guild,confidenceRanking,growthForm,trait,notes,citationSource,unite_db_version,date_assigned,qbit_DNA_conc_ng_uL,guild2,exploration_type,Ecm_lineage,myco_reads,burn_reads,RA_samp,RA_total_reads,RA_total_Burn
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1703,38,1,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,13,1,Glomeromycota_sp,KY114630,SH2593375.08FU,reps_singleton,0.898395721925134,0.983957219251337,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:16 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0020085628204450554,1.1980578851125544e-4,3.37085628620344e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_172,305,30,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,9,0.9,Glomeromycota_sp,KT378100,SH1168433.08FU,reps_singleton,0.973118279569892,1,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:16 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.016121359479887944,9.615990919982345e-4,0.0027055557034001295
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1213,58,2,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,43,1,Glomeromycota_sp,KM208145,SH1549811.08FU,reps,0.872448979591837,0.959183673469388,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.003065701146995084,1.8286146667507408e-4,5.144991173678935e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_83,60,9,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,33,1,Fungi_sp,UDB0748440,SH2750663.08FU,reps,0.816216216216216,0.962162162162162,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.003171414979650087,1.8916703449145596e-4,5.322404662426485e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1184,48,3,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,1,1,Glomeromycota_sp,KY114690,SH2707623.08FU,reps,0.98,1,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0025371319837200696,1.5133362759316477e-4,4.2579237299411875e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUj_431,1453,115,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Setchelliogaster,Setchelliogaster_australiensis,1,1,Setchelliogaster_australiensis,AF325627,SH1514056.08FU,reps,0.985981308411215,0.995327102803738,Symbiotroph,Ectomycorrhizal,Highly Probable,Secotioid,NULL,NULL,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,EctoMycorrhizal,short-distance_delicate,/descolea,317180,112731,0.07680109942385961,0.004580995018601425,0.012889089957509469
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_2854,51,1,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,46,1,Glomeromycota_sp,KM208145,SH1549811.08FU,reps,0.866666666666667,0.958974358974359,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0026957027327025743,1.6079197931773755e-4,4.5240439630625116e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUf_2741,16,0,NA,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,NA,NA,NA,11,1,Archaeosporales_sp,AM420404,SH1538598.08FU,refs,0.891304347826087,0.956521739130435,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,8.457106612400233e-4,5.044454253105492e-5,1.4193079099803957e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_2791,36,0,NA,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,40,1,Glomus_sp,MG008516,SH2591105.08FU,reps_singleton,0.865,0.95,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0019028489877900524,1.1350022069487357e-4,3.1934427974558905e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUf_2198,12,1,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,1,1,Glomeromycota_sp,MG664395,SH3590413.08FU,reps,0.989949748743719,0.994974874371859,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:28:58 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,6.342829959300174e-4,3.783340689829119e-5,1.0644809324852969e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1135,78,9,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,11,1,Glomus_sp,KP756525,SH1169259.08FU,reps_singleton,0.929292929292929,0.98989898989899,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:28:58 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.004122839473545113,2.4591714483889273e-4,6.919126061154429e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUm_6684,23,3,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,1,1,Glomeromycota_sp,KT378100,SH1168433.08FU,reps_singleton,0.897297297297297,0.940540540540541,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 15:55:31 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0012157090755325335,7.251402988839145e-5,2.040255120596819e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_3097,67,8,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,46,1,Dominikia_iranica,KJ564156,SH1549816.08FU,reps,0.865979381443299,0.984536082474227,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0035414133939425975,2.1123652184879249e-4,5.943351873042908e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_1666,38,6,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,4,1,Glomus_sp,AJ699063,SH1142687.08FU,reps_singleton,0.935643564356436,0.98019801980198,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:16 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0020085628204450554,1.1980578851125544e-4,3.37085628620344e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUk_1888,28,3,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Serendipitaceae,Serendipita,NA,2,1,Serendipita_vermifera,FN663141,SH1709090.08FU,refs,0.951219512195122,0.990243902439024,Symbiotroph,Orchid Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); Weiß M, et al. 2016. New Phytologist 211:20-40 ((https://doi.org/10.1111/nph.13977))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,Orchid Mycorrhizal,NA,NA,317180,112731,0.0014799936571700408,8.827794942934612e-5,2.4837888424656925e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUi_4086,31,2,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,7,1,Fungi_sp,UDB044401,SH1547222.08FU,reps,0.946236559139785,0.99462365591397806,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.001638564406152545,9.773630115391891e-5,2.749909075587017e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_6066,50,3,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA,41,1,Fungi_sp,MF971643,SH1174414.08FU,reps_singleton,0.879581151832461,0.963350785340314,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,Microfungus,NULL,NULL,"Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,0.0026428458163750726,1.5763919540954662e-4,4.435337218688737e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUn_1190,21,2,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,NA,1,1,Rhizopogon_sp,AY880943,SH1562179.08FU,refs,0.984313725490196,0.988235294117647,Symbiotroph,Ectomycorrhizal,Highly Probable,Gasteroid,Hypogeous,Common name - false truffle,"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))",sh_general_release_dynamic_s_10.05.2021,Thu Jun  1 12:32:40 2023,NA,EctoMycorrhizal,long-distance,/suillus-rhizopogon,317180,112731,0.0011099952428775305,6.620846207200959e-5,1.8628416318492694e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUb_29,12,2,Fri Mar 21 23:04:47 2025,Fungi,Glomeromycota,Archaeosporomycetes,Archaeosporales,Archaeosporaceae,NA,NA,2,1,Glomeromycota_sp,KT378100,SH1168433.08FU,reps_singleton,0.923913043478261,0.945652173913043,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NULL,NULL,NULL,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:29:44 2021,NA,Arbuscular Mycorrhizal,NA,NA,317180,112731,6.342829959300174e-4,3.783340689829119e-5,1.0644809324852969e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_337,890,66,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,2,1,Tomentella_sp,UDB016682,SH1159726.08FU,reps_singleton,0.904109589041096,0.990867579908676,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,Included due to manual confirmation,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,EctoMycorrhizal,NA,NA,317180,112731,0.047042655531476296,0.00280597767828993,0.007894900249265951
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUj_18500,42,5,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,11,1,Tomentella_sublilacina,UDB003342,SH1502519.08FU,refs,0.944700460829493,1,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,Included due to manual confirmation,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:30:00 2021,NA,EctoMycorrhizal,NA,NA,317180,112731,0.002219990485755061,1.3241692414401918e-4,3.725683263698539e-4
NSMSEQCasWoo01,NSS01,18919,U,1,248,Soil,SMM0101,101,SMM0101-POW14852A1-AAGKYY3M5,ITSall_OTUa_7,5766,395,Fri Mar 21 23:04:47 2025,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,15,1,Tomentella_sp,DQ377429,SH1502636.08FU,reps,0.932126696832579,0.995475113122172,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,Clavarioid,NULL,Included due to manual confirmation,"Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)",sh_general_release_dynamic_s_10.05.2021,Thu Jul  8 14:17:18 2021,NA,EctoMycorrhizal,NA,NA,317180,112731,0.3047729795443734,0.018178952014628918,0.051148308805918516
